Unnamed: 0,system,e_above,e_above_im,hmix,stability,phase,cost,bcc_delta,hcp_delta,decomposition,Tm,T,density,youngs,delta_r,gam_r,chi,lambda_s,vec,hmix_m,omega,tann_s,im_eform,kappa,him_hmix,m1,m2,m3,m4,m6,m7,mvec
89459,Mn-Nb-Os-Ta,-0.096,-0.064,-0.321,stable,BCC,2815.45,-0.152,-0.026,['Mn1Nb1Os1Ta1_SS_BCC'],2716,2445,13.859073564753002,253.5,4.3740888263985305,1.1237862479009535,0.2836701429477555,0.6024436040651048,6.25,-26.275,1.1914577190631055,-0.2920056628092501,-0.3317299936666681,1.428924778862718,1.027892007259878,stable,unstable,unstable,unstable,unstable,stable,BCC
89461,Nb-Ni-Re-V,-0.08,-0.051,-0.226,stable,BCC,874.33,-0.145,-0.015,['Nb1Ni1Re1V1_SS_BCC'],2530,2277,11.23549942196532,224.0,3.14918328648886,1.0806209038996324,0.1454303957224898,1.1622397336077486,6.75,-21.475,1.3579348776621312,-0.2720082205108258,-0.3533569224999997,1.4888565559583673,1.4812717233372674,stable,unstable,unstable,stable,unstable,stable,BCC
89462,Pd-Sb-Ti-Zr,-0.104,-0.003,-0.591,stable,BCC,2454.18,-0.071,-0.051,['Pd1Sb1Ti1Zr1_SS_BCC'],1700,1530,7.143960319004085,90.0,4.223258177212384,1.1166878237428026,0.3568613176011095,0.6462437130341209,5.75,-69.1,0.2835714267931007,-0.182772322082373,-0.8182030687499999,1.1020857136455162,1.0872642430968271,unstable,unstable,unstable,unstable,unstable,stable,BCC
89470,Nb-Ni-Re-W,-0.077,-0.058,-0.112,stable,BCC,881.55,-0.118,-0.01,['Nb1Ni1Re1W1_SS_BCC'],2908,2617,14.591518321678322,294.75,3.14918328648886,1.0806209038996324,0.2713277538328874,1.1622397336077486,7.0,-17.35,1.9319083403899195,-0.3126481838914946,-0.2929664874999993,1.6954870025403712,1.1613900962267494,stable,unstable,unstable,stable,stable,stable,IM
89473,Mo-Nb-Rh-W,-0.09,-0.09,-0.234,stable,BCC,2065.35,-0.171,-0.051,['Mo1Nb1Rh1W1_SS_BCC'],2894,2605,12.528763962065334,280.0,3.57142857142857,1.0800055274231013,0.29732137494637,0.9036654060976572,6.5,-20.975,1.5903332959832022,-0.3111430000625809,-0.5250592991666672,1.572519986553953,1.4352820940146542,stable,unstable,unstable,unstable,unstable,stable,BCC
89477,Mn-Nb-Os-V,-0.095,-0.06,-0.367,stable,BCC,2756.01,-0.169,-0.019,['Mn1Nb1Os1V1_SS_BCC'],2440,2196,11.140204037800688,239.0,4.065578140908704,1.124764770245576,0.2642442052344763,0.6973438401646472,6.25,-22.0,1.2783763861771114,-0.2623320387535237,-0.3560799587499996,1.46021549902376,1.3358119589005664,stable,unstable,unstable,unstable,unstable,stable,BCC
89484,Nb-Ni-Re-Zn,-0.034,-0.008,-0.162,stable,BCC,873.12,-0.071,-0.012,['Nb1Ni1Re1Zn1_SS_BCC'],2157,1942,11.377420428893906,219.0,3.14918328648886,1.0806209038996324,0.141155942134931,1.1622397336077486,8.5,-14.0,1.7758803580107916,-0.2319058227833403,-0.2929664874999993,1.639316928883885,1.8680127101195072,stable,unstable,unstable,stable,unstable,unstable,FCC
89485,Mn-Nb-Os-W,-0.082,-0.073,-0.23,stable,BCC,2763.24,-0.117,-0.017,['Mn1Nb1Os1W1_SS_BCC'],2818,2536,14.46948780149709,309.75,4.065578140908704,1.124764770245576,0.357447548599791,0.6973438401646472,6.5,-18.825,1.72543100684554,-0.3029720021341925,-0.2510193787499997,1.6211551624643945,0.9435786652053813,stable,unstable,unstable,unstable,stable,stable,BCC
89491,Nb-Ni-Re-Zr,-0.081,-0.008,-0.222,stable,BCC,873.21,-0.121,-0.014,['Nb1Ni1Re1Zr1_SS_BCC'],2516,2265,10.64592506203474,209.0,5.818639983079647,1.161547691141528,0.239843699104229,0.340446301531921,6.5,-33.35,0.8695736934115991,-0.2705030366819121,-0.4598753874999994,1.3130465296281757,1.0578644652852085,unstable,unstable,unstable,unstable,unstable,stable,BCC
89493,Mo-Nb-Rh-Zn,-0.069,-0.038,-0.257,stable,BCC,2056.92,-0.038,0.004,['Mo1Nb1Rh1Zn1_SS_BCC'],2144,1930,9.486344754316068,204.25,3.57142857142857,1.0800055274231013,0.3010294836058421,0.9036654060976572,8.0,-18.25,1.354108632005434,-0.2305081520850634,-0.5250592991666672,1.4874791075219562,1.996987805137295,stable,unstable,unstable,unstable,unstable,unstable,IM
